Center,Center_Code,Center_Name_x,Citizenship,Payment_Type,Is_Aggregate,Donor_Type,Transplant_Count,Payment_Category,Center_Name_y,City,Region,Urban
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Not_Reported,Private insurance,False,Deceased Donor,1,Private_Insurance,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Not_Reported,Unknown,False,Deceased Donor,1,Unknown,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,Public insurance - Medicaid,False,Living Donor,1,Medicaid,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,Public insurance - Medicare & Choice,False,Deceased Donor,18,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,2,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,Public insurance - Medicare Unspecified,False,Deceased Donor,1,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,Public insurance - Medicare & Choice,False,Living Donor,1,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,Public insurance - Medicare Unspecified,False,Living Donor,2,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,All Primary Payers,False,Deceased Donor,26,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,US/State Govt Agency,False,Deceased Donor,1,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,All Primary Payers,False,Living Donor,4,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,Private insurance,False,Deceased Donor,3,Private_Insurance,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Resident_Alien,Unknown,False,Deceased Donor,1,Unknown,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Medicaid,False,Deceased Donor,101,Medicaid,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Medicaid,False,Living Donor,12,Medicaid,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Medicare & Choice,False,Deceased Donor,871,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,345,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Medicare Unspecified,False,Deceased Donor,244,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Medicare & Choice,False,Living Donor,59,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Medicare FFS (Fee for Service),False,Living Donor,14,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Medicare Unspecified,False,Living Donor,42,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,All Primary Payers,False,Deceased Donor,2149,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,US/State Govt Agency,False,Deceased Donor,31,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,All Primary Payers,False,Living Donor,261,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,US/State Govt Agency,False,Living Donor,14,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Other government,False,Deceased Donor,12,Other_Government,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Other government,False,Living Donor,3,Other_Government,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Private insurance,False,Deceased Donor,321,Private_Insurance,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Private insurance,False,Living Donor,84,Private_Insurance,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Self,False,Living Donor,1,Self_Pay_Uninsured,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Unknown,False,Deceased Donor,223,Unknown,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Unknown,False,Living Donor,32,Unknown,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,US_Citizen,Public insurance - Department of VA,False,Deceased Donor,1,VA,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Medicaid,False,Deceased Donor,98,Medicaid,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Medicaid,False,Living Donor,17,Medicaid,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Medicare & Choice,False,Deceased Donor,548,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,313,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Medicare Unspecified,False,Deceased Donor,483,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Medicare & Choice,False,Living Donor,122,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Medicare FFS (Fee for Service),False,Living Donor,54,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Medicare Unspecified,False,Living Donor,28,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,All Primary Payers,False,Deceased Donor,2522,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,US/State Govt Agency,False,Deceased Donor,3,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,All Primary Payers,False,Living Donor,609,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,US/State Govt Agency,False,Living Donor,2,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Other government,False,Deceased Donor,17,Other_Government,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Foreign Government Specify,False,Living Donor,1,Other_Government,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Other government,False,Living Donor,4,Other_Government,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Private insurance,False,Deceased Donor,715,Private_Insurance,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Private insurance,False,Living Donor,358,Private_Insurance,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Self,False,Deceased Donor,4,Self_Pay_Uninsured,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Unknown,False,Deceased Donor,340,Unknown,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Unknown,False,Living Donor,23,Unknown,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,All,Public insurance - Department of VA,False,Deceased Donor,1,VA,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_For_TX,All Primary Payers,False,Living Donor,1,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_For_TX,Foreign Government Specify,False,Living Donor,1,Other_Government,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Not_For_TX,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,1,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Not_For_TX,All Primary Payers,False,Deceased Donor,2,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Not_For_TX,Private insurance,False,Deceased Donor,1,Private_Insurance,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Resident,Public insurance - Medicare & Choice,False,Deceased Donor,1,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Resident,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,2,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Resident,Public insurance - Medicare FFS (Fee for Service),False,Living Donor,1,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Resident,All Primary Payers,False,Deceased Donor,12,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Resident,All Primary Payers,False,Living Donor,3,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Resident,Public insurance - Other government,False,Deceased Donor,1,Other_Government,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Resident,Private insurance,False,Deceased Donor,8,Private_Insurance,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Citizen_Resident,Private insurance,False,Living Donor,2,Private_Insurance,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Resident_Alien,All Primary Payers,False,Deceased Donor,7,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Resident_Alien,US/State Govt Agency,False,Deceased Donor,1,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Resident_Alien,Self,False,Deceased Donor,3,Self_Pay_Uninsured,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Non_Resident_Alien,Unknown,False,Deceased Donor,3,Unknown,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Not_Reported,Public insurance - Medicare & Choice,False,Deceased Donor,1,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Not_Reported,Public insurance - Medicare Unspecified,False,Living Donor,1,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Not_Reported,All Primary Payers,False,Deceased Donor,3,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Not_Reported,All Primary Payers,False,Living Donor,3,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Not_Reported,Unknown,False,Deceased Donor,2,Unknown,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Not_Reported,Unknown,False,Living Donor,2,Unknown,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Resident_Alien,Public insurance - Medicare & Choice,False,Deceased Donor,1,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Resident_Alien,Public insurance - Medicare Unspecified,False,Deceased Donor,4,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Resident_Alien,All Primary Payers,False,Deceased Donor,7,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Resident_Alien,All Primary Payers,False,Living Donor,2,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Resident_Alien,Private insurance,False,Deceased Donor,1,Private_Insurance,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Resident_Alien,Private insurance,False,Living Donor,2,Private_Insurance,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,Resident_Alien,Self,False,Deceased Donor,1,Self_Pay_Uninsured,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,Public insurance - Medicaid,False,Deceased Donor,98,Medicaid,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,Public insurance - Medicaid,False,Living Donor,17,Medicaid,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,Public insurance - Medicare & Choice,False,Deceased Donor,545,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,310,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,Public insurance - Medicare Unspecified,False,Deceased Donor,479,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,Public insurance - Medicare & Choice,False,Living Donor,122,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,Public insurance - Medicare FFS (Fee for Service),False,Living Donor,53,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,Public insurance - Medicare Unspecified,False,Living Donor,27,Medicare,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,All Primary Payers,False,Deceased Donor,2487,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,US/State Govt Agency,False,Deceased Donor,2,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
PAAG-TX1 Allegheny General Hospital,PAAG-TX1,Allegheny General Hospital,US_Citizen,All Primary Payers,False,Living Donor,600,Other,Allegheny General Hospital,Pittsburgh,Southwest,True
